id,cluster
tt0133093,3
tt0068646,3
tt0468569,3
tt0111161,3
tt0120737,6
tt0109830,4
tt0110912,18
tt0137523,3
tt0167260,3
tt1853728,18
tt0114369,3
tt0102926,1
tt0361748,9
tt1345836,3
tt0167261,1
tt1130884,3
tt0482571,3
tt0120815,3
tt0172495,16
tt0120689,3
tt0499549,3
tt0108052,9
tt0407887,3
tt0209144,18
tt0120338,0
tt4154756,6
tt0099685,11
tt0088763,3
tt0325980,0
tt0120382,3
tt0910970,0
tt0169547,13
tt0434409,17
tt0120586,3
tt0110357,13
tt0371746,3
tt0114814,3
tt1049413,1
tt0081505,13
tt1392190,17
tt0108778,8
tt0105236,3
tt0338013,11
tt0264464,12
tt0119217,3
tt0114709,8
tt0073486,9
tt0167404,5
tt0477348,3
tt1392170,3
tt2582802,1
tt0268978,3
tt0075314,8
tt0198781,3
tt0253474,16
tt0086250,3
tt0208092,3
tt1300854,3
tt0180093,3
tt0458339,3
tt2278388,10
tt0435761,3
tt0050083,8
tt0066921,3
tt0241527,16
tt1010048,3
tt1119646,3
tt0118715,3
tt1228705,4
tt1454468,3
tt0246578,4
tt0382932,1
tt2096673,1
tt0083658,3
tt0416449,3
tt1825683,3
tt3501632,6
tt0317705,16
tt0480249,8
tt0378194,3
tt0892769,1
tt0093058,9
tt1205489,15
tt0097576,13
tt0770828,3
tt2543164,14
tt3896198,14
tt5013056,9
tt0383574,3
tt1631867,2
tt0126029,3
tt0144084,8
tt0116282,3
tt5052448,1
tt0816711,3
tt0113277,3
tt0062622,3
tt0054215,7
tt0117951,15
tt0405159,3
tt1136608,12
tt0304141,1
tt0451279,9
tt1504320,3
tt0078788,3
tt0421715,0
tt0449088,3
tt0295297,3
tt0107048,2
tt0381061,19
tt3783958,0
tt0369610,3
tt0330373,3
tt1798709,11
tt1856101,10
tt0418279,3
tt0073195,3
tt0099785,3
tt1637725,11
tt0988045,3
tt3460252,3
tt0440963,3
tt0364569,10
tt0758758,3
tt0373889,3
tt0936501,12
tt0829482,3
tt0469494,16
tt1024648,12
tt0075148,3
tt0234215,3
tt1156398,16
tt0332280,17
tt0240772,3
tt0119488,3
tt1396484,3
tt2380307,3
tt0120363,3
tt0119654,12
tt0796366,15
tt0120735,3
tt1219289,3
tt0443706,3
tt0034583,3
tt0926084,3
tt6644200,16
tt0116629,3
tt2119532,9
tt0450259,3
tt0181689,3
tt0417741,3
tt1343092,3
tt0343818,3
tt0332452,3
tt0365748,3
tt0258463,4
tt0071853,3
tt0112641,3
tt1298650,3
tt0454921,3
tt2948356,3
tt1457767,16
tt0097165,3
tt5027774,7
tt0945513,3
tt1659337,3
tt0356910,18
tt0467406,1
tt0095953,13
tt2872732,17
tt0412142,14
tt0367594,5
tt0206634,17
tt0800080,3
tt1663662,9
tt0441773,3
tt0099487,16
tt0289879,3
tt0268380,13
tt0047396,3
tt0057012,15
tt0449059,16
tt1790864,3
tt4425200,3
tt0448157,3
tt0298148,3
tt0038650,3
tt2245084,14
tt3183660,8
tt0119116,3
tt1895587,3
tt0362227,3
tt0398286,3
tt1677720,1
tt1454029,3
tt0092099,3
tt0367882,3
tt0317219,3
tt0372183,3
tt1099212,0
tt2103281,9
tt0335266,17
tt0319262,8
tt0458352,8
tt0084787,14
tt0407304,16
tt0974015,6
tt0101414,0
tt0217505,8
tt0139654,2
tt0387564,3
tt0117060,12
tt0325710,3
tt2379713,19
tt0887912,9
tt0103639,3
tt0830515,19
tt0120616,0
tt0033467,3
tt1499658,3
tt0070047,7
tt0780536,3
tt0382625,10
tt2283362,3
tt0087332,8
tt0093773,14
tt3170832,7
tt0120591,14
tt0942385,9
tt0093779,0
tt0765429,8
tt1605783,2
tt5580390,11
tt0377092,1
tt0375679,3
tt0217869,4
tt0119567,14
tt0092005,5
tt0360717,14
tt0351283,8
tt1187043,3
tt0088847,3
tt1014759,3
tt0105695,3
tt0091763,9
tt0315327,3
tt0831387,3
tt0083866,3
tt0163651,3
tt0119174,3
tt0369339,1
tt0086879,3
tt0052357,17
tt0110475,3
tt1055369,9
tt0232500,3
tt0265086,3
tt0363771,3
tt1060277,8
tt0337978,1
tt1596343,6
tt0104431,8
tt0118971,8
tt0119094,12
tt0493464,3
tt0117571,7
tt0877057,3
tt0096895,9
tt0147800,5
tt1453405,11
tt0454848,3
tt0111257,1
tt0317919,12
tt0328107,16
tt1190080,16
tt0091042,2
tt0230600,9
tt0388795,11
tt0162661,3
tt0408236,18
tt0317740,14
tt0443543,17
tt0343660,2
tt0286106,3
tt0099423,3
tt0107688,3
tt0338751,10
tt0081398,3
tt0120663,3
tt1068680,4
tt0478311,3
tt0087843,10
tt0113497,3
tt0477347,3
tt0120755,12
tt0360486,3
tt0357413,3
tt0119396,3
tt1907668,1
tt0438488,3
tt1182345,3
tt1371111,3
tt0395169,3
tt0396269,3
tt0100405,0
tt4649466,3
tt1646971,3
tt0790724,3
tt1041829,8
tt1065073,3
tt1650062,3
tt0496806,3
tt0077416,9
tt0389860,3
tt2798920,3
tt0117500,3
tt0212338,12
tt0100802,3
tt0910936,3
tt0822854,3
tt0368891,14
tt1231583,3
tt0887883,12
tt0120601,3
tt0071315,3
tt1790809,3
tt3731562,14
tt0125439,0
tt0213149,9
tt0167190,3
tt0462538,3
tt0209163,3
tt4881806,3
tt0112471,17
tt1193138,15
tt0238380,4
tt1591095,16
tt1707386,3
tt0884328,3
tt0116367,3
tt1037705,3
tt0120667,3
tt0399295,12
tt4925292,7
tt0457939,0
tt0414387,17
tt0119528,3
tt2771200,17
tt3606756,16
tt0031381,9
tt0105323,4
tt0056592,4
tt0119008,12
tt0413267,15
tt0386588,4
tt0381849,15
tt0094226,14
tt0472043,4
tt0190590,3
tt4975722,4
tt0175880,0
tt0129387,4
tt0103644,3
tt0109040,3
tt0453467,12
tt0103776,4
tt1302011,3
tt0298203,3
tt5726616,16
tt0425210,9
