id,cluster
tt0133093,8
tt0068646,5
tt0468569,14
tt0111161,1
tt0120737,1
tt0109830,1
tt0110912,1
tt0137523,1
tt0167260,1
tt1853728,1
tt0114369,1
tt0102926,1
tt0361748,17
tt1345836,12
tt0167261,10
tt1130884,1
tt0482571,6
tt0120815,17
tt0172495,1
tt0120689,1
tt0499549,1
tt0108052,1
tt0407887,1
tt0209144,1
tt0120338,1
tt4154756,1
tt0099685,2
tt0088763,18
tt0325980,1
tt0120382,8
tt0910970,16
tt0169547,4
tt0434409,19
tt0120586,8
tt0110357,1
tt0371746,1
tt0114814,2
tt1049413,9
tt0081505,1
tt1392190,17
tt0108778,15
tt0105236,1
tt0338013,1
tt0264464,1
tt0119217,8
tt0114709,10
tt0073486,1
tt0167404,9
tt0477348,1
tt1392170,1
tt2582802,9
tt0268978,1
tt0075314,15
tt0198781,1
tt0253474,1
tt0086250,1
tt0208092,1
tt1300854,1
tt0180093,14
tt0458339,1
tt2278388,1
tt0435761,1
tt0050083,15
tt0066921,1
tt0241527,1
tt1010048,1
tt1119646,1
tt0118715,1
tt1228705,1
tt1454468,1
tt0246578,1
tt0382932,9
tt2096673,4
tt0083658,16
tt0416449,6
tt1825683,14
tt3501632,16
tt0317705,8
tt0480249,15
tt0378194,1
tt0892769,9
tt0093058,1
tt1205489,1
tt0097576,1
tt0770828,16
tt2543164,3
tt3896198,13
tt5013056,6
tt0383574,11
tt1631867,1
tt0126029,1
tt0144084,15
tt0116282,5
tt5052448,9
tt0816711,1
tt0113277,17
tt0062622,1
tt0054215,0
tt0117951,11
tt0405159,4
tt1136608,16
tt0304141,9
tt0451279,1
tt1504320,2
tt0078788,12
tt0421715,1
tt0449088,3
tt0295297,18
tt0107048,1
tt0381061,1
tt3783958,1
tt0369610,10
tt0330373,1
tt1798709,1
tt1856101,9
tt0418279,16
tt0073195,1
tt0099785,1
tt1637725,1
tt0988045,6
tt3460252,1
tt0440963,10
tt0364569,1
tt0758758,1
tt0373889,1
tt0936501,1
tt0829482,18
tt0469494,2
tt1024648,1
tt0075148,1
tt0234215,12
tt1156398,12
tt0332280,19
tt0240772,1
tt0119488,1
tt1396484,17
tt2380307,1
tt0120363,11
tt0119654,16
tt0796366,16
tt0120735,1
tt1219289,10
tt0443706,1
tt0034583,1
tt0926084,12
tt6644200,1
tt0116629,4
tt2119532,6
tt0450259,1
tt0181689,1
tt0417741,1
tt1343092,1
tt0343818,5
tt0332452,12
tt0365748,1
tt0258463,1
tt0071853,1
tt0112641,4
tt1298650,1
tt0454921,1
tt2948356,7
tt1457767,7
tt0097165,10
tt5027774,0
tt0945513,1
tt1659337,18
tt0356910,1
tt0467406,19
tt0095953,1
tt2872732,19
tt0412142,13
tt0367594,9
tt0206634,19
tt0800080,1
tt1663662,1
tt0441773,1
tt0099487,8
tt0289879,8
tt0268380,1
tt0047396,0
tt0057012,1
tt0449059,9
tt1790864,12
tt4425200,8
tt0448157,1
tt0298148,1
tt0038650,8
tt2245084,13
tt3183660,15
tt0119116,1
tt1895587,2
tt0362227,1
tt0398286,8
tt1677720,1
tt1454029,7
tt0092099,4
tt0367882,1
tt0317219,8
tt0372183,8
tt1099212,1
tt2103281,16
tt0335266,19
tt0319262,15
tt0458352,15
tt0084787,13
tt0407304,1
tt0974015,16
tt0101414,9
tt0217505,15
tt0139654,1
tt0387564,1
tt0117060,1
tt0325710,1
tt2379713,1
tt0887912,7
tt0103639,1
tt0830515,1
tt0120616,1
tt0033467,1
tt1499658,11
tt0070047,0
tt0780536,1
tt0382625,0
tt2283362,7
tt0087332,15
tt0093773,13
tt3170832,0
tt0120591,16
tt0942385,17
tt0093779,2
tt0765429,15
tt1605783,1
tt5580390,1
tt0377092,10
tt0375679,1
tt0217869,1
tt0119567,13
tt0092005,11
tt0360717,13
tt0351283,15
tt1187043,11
tt0088847,18
tt1014759,11
tt0105695,1
tt0091763,6
tt0315327,1
tt0831387,1
tt0083866,16
tt0163651,1
tt0119174,8
tt0369339,1
tt0086879,8
tt0052357,19
tt0110475,1
tt1055369,8
tt0232500,1
tt0265086,6
tt0363771,1
tt1060277,15
tt0337978,12
tt1596343,3
tt0104431,15
tt0118971,15
tt0119094,1
tt0493464,1
tt0117571,0
tt0877057,18
tt0096895,5
tt0147800,1
tt1453405,4
tt0454848,1
tt0111257,9
tt0317919,8
tt0328107,1
tt1190080,1
tt0091042,18
tt0230600,1
tt0388795,1
tt0162661,14
tt0408236,1
tt0317740,13
tt0443543,19
tt0343660,1
tt0286106,1
tt0099423,1
tt0107688,1
tt0338751,1
tt0081398,8
tt0120663,1
tt1068680,1
tt0478311,1
tt0087843,8
tt0113497,1
tt0477347,8
