id,title,type,genres,imdb_rating,numVotes,releaseYear,filmweb_rating,douban_rating
tt0111161,The Shawshank Redemption,movie,Drama,9.3,2991460.0,1994.0,8.8,9.5
tt0468569,The Dark Knight,movie,"Action, Crime, Drama",9.0,2971515.0,2008.0,8.0,8.6
tt0137523,Fight Club,movie,Drama,8.8,2418682.0,1999.0,8.3,9.1
tt0109830,Forrest Gump,movie,"Drama, Romance",8.8,2340761.0,1994.0,8.5,9.3
tt0110912,Pulp Fiction,movie,"Crime, Drama",8.9,2295044.0,1994.0,8.3,8.8
tt0133093,The Matrix,movie,"Action, Sci-Fi",8.7,2122369.0,1999.0,7.6,8.5
tt0068646,The Godfather,movie,"Crime, Drama",9.2,2087913.0,1972.0,8.6,9.2
tt0120737,The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure, Drama, Fantasy",8.9,2076787.0,2001.0,8.0,8.8
tt0167260,The Lord of the Rings: The Return of the King,movie,"Adventure, Drama, Fantasy",9.0,2047542.0,2003.0,8.4,8.9
tt1345836,The Dark Knight Rises,movie,"Action, Drama, Thriller",8.4,1886553.0,2012.0,7.7,9.75
tt0114369,Se7en,movie,"Crime, Drama, Mystery",8.6,1871819.0,1995.0,8.3,8.7
tt0167261,The Lord of the Rings: The Two Towers,movie,"Adventure, Drama, Fantasy",8.8,1846141.0,2002.0,8.3,8.8
tt1853728,Django Unchained,movie,"Comedy, Drama, Western",8.5,1757363.0,2012.0,8.3,9.3
tt0172495,Gladiator,movie,"Action, Adventure, Drama",8.5,1719103.0,2000.0,8.1,8.2
tt0361748,Inglourious Basterds,movie,"Adventure, Drama, War",8.4,1647915.0,2009.0,8.0,8.3
tt0102926,The Silence of the Lambs,movie,"Crime, Drama, Thriller",8.6,1606181.0,1991.0,8.2,8.5
tt0120815,Saving Private Ryan,movie,"Drama, War",8.6,1546120.0,1998.0,8.1,8.6
tt1130884,Shutter Island,movie,"Drama, Mystery, Thriller",8.2,1519227.0,2010.0,8.2,7.5
tt0108052,Schindler's List,movie,"Biography, Drama, History",9.0,1499309.0,1993.0,8.4,9.3
tt0482571,The Prestige,movie,"Drama, Mystery, Sci-Fi",8.5,1490182.0,2006.0,8.1,8.4
tt0407887,The Departed,movie,"Crime, Drama, Thriller",8.5,1465937.0,2006.0,8.0,6.8
tt0120689,The Green Mile,movie,"Crime, Drama, Fantasy",8.6,1460291.0,1999.0,8.6,8.6
tt0499549,Avatar,movie,"Action, Adventure, Fantasy",7.9,1416362.0,2009.0,7.4,9.2
tt0209144,Memento,movie,"Mystery, Thriller",8.4,1359814.0,2000.0,7.6,8.5
tt0088763,Back to the Future,movie,"Adventure, Comedy, Sci-Fi",8.5,1355091.0,1985.0,7.5,8.2
tt0120338,Titanic,movie,"Drama, Romance",7.9,1321811.0,1997.0,7.3,8.6
tt0099685,Goodfellas,movie,"Biography, Crime, Drama",8.7,1303107.0,1990.0,8.3,8.3
tt4154756,Avengers: Infinity War,movie,"Action, Adventure, Sci-Fi",8.4,1260121.0,2018.0,8.1,9.35
tt0120382,The Truman Show,movie,"Comedy, Drama",8.2,1251905.0,1998.0,7.4,8.8
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,movie,"Action, Adventure, Fantasy",8.1,1247743.0,2003.0,7.7,8.2
